round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
Sweet 16,3,LSU,21,731,0.105,0.15229166666666666,-0.04729166666666666,-0.31053351573187415
Sweet 16,11,George Mason,0,229,0.0,0.04770833333333333,-0.04770833333333333,-1.0
Sweet 16,8,Richmond,5,349,0.025,0.07270833333333333,-0.04770833333333333,-0.6561604584527221
Sweet 16,14,FGCU,1,268,0.005,0.05583333333333333,-0.050833333333333335,-0.9104477611940299
Sweet 16,6,West Virginia,17,659,0.085,0.13729166666666667,-0.05229166666666667,-0.3808801213960546
Sweet 16,7,Louisville,5,374,0.025,0.07791666666666666,-0.05291666666666666,-0.6791443850267379
Sweet 16,12,Green Bay,1,284,0.005,0.059166666666666666,-0.05416666666666667,-0.9154929577464789
Sweet 16,6,Iowa,7,435,0.035,0.090625,-0.055624999999999994,-0.6137931034482759
Sweet 16,4,Baylor,20,757,0.1,0.15770833333333334,-0.057708333333333334,-0.36591809775429324
Sweet 16,11,Columbia,0,293,0.0,0.06104166666666667,-0.06104166666666667,-1.0
Sweet 16,8,California,3,379,0.015,0.07895833333333334,-0.06395833333333334,-0.8100263852242744
Sweet 16,7,Oklahoma St,18,759,0.09,0.158125,-0.06812499999999999,-0.43083003952569165
Sweet 16,7,Michigan St,1,353,0.005,0.07354166666666667,-0.06854166666666667,-0.9320113314447591
Sweet 16,9,Creighton,6,520,0.03,0.10833333333333334,-0.07833333333333334,-0.7230769230769231
Elite 8,2,NC State,64,1538,0.32,0.3204166666666667,-0.0004166666666666763,-0.0013003901170351405
Elite 8,15,Arkansas St,1,27,0.005,0.005625,-0.0006249999999999997,-0.11111111111111106
Elite 8,16,UNC Greensboro,0,10,0.0,0.0020833333333333333,-0.0020833333333333333,-1.0
Elite 8,16,William & Mary,0,11,0.0,0.0022916666666666667,-0.0022916666666666667,-1.0
Elite 8,15,Fair Dickinson,0,12,0.0,0.0025,-0.0025,-1.0
Elite 8,14,SF Austin,0,19,0.0,0.003958333333333334,-0.003958333333333334,-1.0
Elite 8,15,Vermont,0,19,0.0,0.003958333333333334,-0.003958333333333334,-1.0
