round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
Sweet 16,7,Kansas,5,1071,0.025,0.05409090909090909,-0.02909090909090909,-0.5378151260504201
Sweet 16,8,Louisville,20,2605,0.1,0.13156565656565655,-0.03156565656565655,-0.23992322456813808
Sweet 16,3,Texas Tech,31,3698,0.155,0.18676767676767678,-0.03176767676767678,-0.17009194159004873
Sweet 16,7,Marquette,6,1363,0.03,0.06883838383838384,-0.03883838383838384,-0.5641966250917094
Sweet 16,4,Arizona,19,2720,0.095,0.13737373737373737,-0.04237373737373737,-0.30845588235294114
Sweet 16,5,Clemson,19,2801,0.095,0.14146464646464646,-0.04646464646464646,-0.3284541235273116
Elite 8,2,St John's,88,6130,0.44,0.3095959595959596,0.1304040404040404,0.4212071778140294
Elite 8,2,Alabama,41,3385,0.205,0.17095959595959595,0.03404040404040404,0.19911373707533234
Elite 8,3,Iowa State,20,1492,0.1,0.07535353535353535,0.024646464646464653,0.32707774798927625
Elite 8,5,Michigan,23,1801,0.115,0.09095959595959596,0.024040404040404043,0.26429761243753475
Elite 8,8,Gonzaga,12,933,0.06,0.04712121212121212,0.012878787878787878,0.2733118971061093
Elite 8,2,Michigan St,53,5017,0.265,0.2533838383838384,0.011616161616161635,0.045844129958142396
Elite 8,7,UCLA,8,587,0.04,0.029646464646464647,0.010353535353535354,0.3492333901192505
Elite 8,4,Texas A&M,12,1059,0.06,0.05348484848484848,0.0065151515151515155,0.1218130311614731
Elite 8,8,UConn,6,470,0.03,0.023737373737373738,0.006262626262626261,0.2638297872340425
Elite 8,12,Liberty,4,275,0.02,0.013888888888888888,0.006111111111111112,0.4400000000000001
Elite 8,11,North Carolina,8,685,0.04,0.0345959595959596,0.005404040404040404,0.1562043795620438
Elite 8,6,Missouri,3,208,0.015,0.010505050505050505,0.004494949494949494,0.4278846153846153
Elite 8,11,VCU,8,709,0.04,0.03580808080808081,0.004191919191919191,0.11706629055007049
Elite 8,10,New Mexico,6,531,0.03,0.026818181818181817,0.0031818181818181815,0.11864406779661016
Elite 8,9,Creighton,6,539,0.03,0.02722222222222222,0.0027777777777777783,0.10204081632653064
Elite 8,15,Omaha,1,47,0.005,0.002373737373737374,0.0026262626262626263,1.1063829787234043
Elite 8,12,UC San Diego,5,452,0.025,0.02282828282828283,0.002171717171717172,0.09513274336283185
Elite 8,14,Lipscomb,1,81,0.005,0.004090909090909091,0.0009090909090909089,0.22222222222222215
Elite 8,16,Alabama St,14,1400,0.07,0.0707070707070707,-0.0007070707070706977,-0.009999999999999868
Elite 8,16,Mount St Marys,0,30,0.0,0.0015151515151515152,-0.0015151515151515152,-1.0
Elite 8,16,SIUE,0,32,0.0,0.0016161616161616162,-0.0016161616161616162,-1.0
Elite 8,14,UNC Wilmington,0,34,0.0,0.0017171717171717172,-0.0017171717171717172,-1.0
Elite 8,13,Yale,2,237,0.01,0.01196969696969697,-0.0019696969696969702,-0.1645569620253165
Elite 8,15,Wofford,0,43,0.0,0.002171717171717172,-0.002171717171717172,-1.0
Elite 8,12,McNeese,2,242,0.01,0.012222222222222223,-0.0022222222222222227,-0.18181818181818185
Elite 8,16,Norfolk St,0,51,0.0,0.002575757575757576,-0.002575757575757576,-1.0
Elite 8,15,Bryant,0,69,0.0,0.0034848484848484847,-0.0034848484848484847,-1.0
Elite 8,7,Marquette,4,466,0.02,0.023535353535353534,-0.003535353535353534,-0.15021459227467807
